Empresa;Fecha;Último;Apertura;Maximo;Minimo;Vol.;%var.
Acciona S.A. (ANA);13.11.2023;126,025;127,975;127,975;125,900;nan;-0.92%
Acciona S.A. (ANA);10.11.2023;127,200;127,300;127,550;125,700;64,34K;-1.01%
Acciona S.A. (ANA);09.11.2023;128,500;126,150;128,800;124,900;74,36K;+2.11%
Acciona S.A. (ANA);08.11.2023;125,850;125,250;127,050;125,000;61,83K;0.00%
Acciona S.A. (ANA);07.11.2023;125,850;126,200;126,700;125,550;86,03K;-1.22%
Acciona S.A. (ANA);06.11.2023;127,400;127,500;128,600;126,350;100,53K;+0.16%
Acciona S.A. (ANA);03.11.2023;127,200;124,300;129,300;123,750;127,27K;+2.75%
Acciona S.A. (ANA);02.11.2023;123,800;120,000;125,250;120,000;113,33K;+4.69%
Acciona S.A. (ANA);01.11.2023;118,250;119,150;119,150;115,850;65,96K;-0.63%
Acciona S.A. (ANA);31.10.2023;119,000;117,500;119,250;116,700;124,85K;+2.45%
Acciona S.A. (ANA);30.10.2023;116,150;114,750;117,200;114,750;66,45K;+1.44%
Acciona S.A. (ANA);27.10.2023;114,500;115,750;117,750;113,900;65,42K;-1.21%
Acciona S.A. (ANA);26.10.2023;115,900;115,250;116,450;114,450;105,87K;+0.09%
Acciona S.A. (ANA);25.10.2023;115,800;117,900;118,000;115,400;87,23K;-2.11%
Acciona S.A. (ANA);24.10.2023;118,300;115,900;118,450;115,650;78,45K;+2.03%
Acciona S.A. (ANA);23.10.2023;115,950;115,050;116,050;114,050;68,41K;+0.52%
Acciona S.A. (ANA);20.10.2023;115,350;118,250;118,400;115,350;119,97K;-3.27%
Acciona S.A. (ANA);19.10.2023;119,250;119,000;120,300;118,200;77,75K;-0.04%
Acciona S.A. (ANA);18.10.2023;119,300;118,250;120,950;117,250;116,17K;+0.55%
Acciona S.A. (ANA);17.10.2023;118,650;118,100;120,450;118,050;72,38K;+0.55%
Acciona S.A. (ANA);16.10.2023;118,000;118,150;118,850;116,900;58,05K;-0.21%
Acciona S.A. (ANA);13.10.2023;118,250;118,950;120,100;117,700;87,41K;-1.00%
Acerinox S.A. (ACX);13.11.2023;9,604;9,645;9,665;9,586;nan;-0.12%
Acerinox S.A. (ACX);10.11.2023;9,616;9,656;9,748;9,590;561,34K;-1.50%
Acerinox S.A. (ACX);09.11.2023;9,762;9,694;9,836;9,610;662,45K;+0.99%
Acerinox S.A. (ACX);08.11.2023;9,666;9,650;9,760;9,606;681,11K;+0.21%
Acerinox S.A. (ACX);07.11.2023;9,646;9,740;9,740;9,568;616,84K;-1.07%
Acerinox S.A. (ACX);06.11.2023;9,750;9,720;9,784;9,652;1,09M;+0.91%
Acerinox S.A. (ACX);03.11.2023;9,662;9,340;9,698;9,134;2,45M;+3.31%
Acerinox S.A. (ACX);02.11.2023;9,352;9,234;9,410;9,234;1,30M;+1.81%
Acerinox S.A. (ACX);01.11.2023;9,186;9,190;9,244;9,148;358,45K;-0.13%
Acerinox S.A. (ACX);31.10.2023;9,198;9,060;9,230;9,048;658,79K;+1.41%
Acerinox S.A. (ACX);30.10.2023;9,070;9,074;9,110;9,030;459,77K;-0.11%
Acerinox S.A. (ACX);27.10.2023;9,080;9,090;9,130;9,032;388,84K;+0.53%
Acerinox S.A. (ACX);26.10.2023;9,032;8,910;9,044;8,854;540,36K;+1.21%
Acerinox S.A. (ACX);25.10.2023;8,924;8,860;8,942;8,836;413,10K;+1.34%
Acerinox S.A. (ACX);24.10.2023;8,806;8,770;8,824;8,670;592,43K;+0.59%
Acerinox S.A. (ACX);23.10.2023;8,754;8,800;8,838;8,730;780,35K;-0.75%
Acerinox S.A. (ACX);20.10.2023;8,820;8,920;8,942;8,804;814,16K;-2.13%
Acerinox S.A. (ACX);19.10.2023;9,012;8,946;9,022;8,936;451,36K;+0.18%
Acerinox S.A. (ACX);18.10.2023;8,996;9,164;9,164;8,954;741,46K;-1.88%
Acerinox S.A. (ACX);17.10.2023;9,168;9,144;9,174;9,012;437,40K;-0.33%
Acerinox S.A. (ACX);16.10.2023;9,198;9,104;9,236;9,100;587,80K;+0.63%
Acerinox S.A. (ACX);13.10.2023;9,140;9,128;9,236;9,108;545,00K;-0.11%
Actividades de Construcción y Servicios S.A. (ACS);13.11.2023;33,520;33,555;33,590;33,309;nan;+0.78%
Actividades de Construcción y Servicios S.A. (ACS);10.11.2023;33,260;33,220;33,470;33,160;231,27K;-0.18%
Actividades de Construcción y Servicios S.A. (ACS);09.11.2023;33,320;33,250;33,440;33,100;273,07K;+0.18%
Actividades de Construcción y Servicios S.A. (ACS);08.11.2023;33,260;33,090;33,300;32,930;663,93K;+0.24%
Actividades de Construcción y Servicios S.A. (ACS);07.11.2023;33,180;33,300;33,470;33,100;254,90K;-0.96%
Actividades de Construcción y Servicios S.A. (ACS);06.11.2023;33,500;33,890;33,890;33,390;270,00K;-1.15%
Actividades de Construcción y Servicios S.A. (ACS);03.11.2023;33,890;34,350;34,400;33,840;255,13K;-0.88%
Actividades de Construcción y Servicios S.A. (ACS);02.11.2023;34,190;34,280;34,470;34,080;385,45K;+0.59%
Actividades de Construcción y Servicios S.A. (ACS);01.11.2023;33,990;34,050;34,230;33,770;277,54K;-0.53%
Actividades de Construcción y Servicios S.A. (ACS);31.10.2023;34,170;33,780;34,210;33,640;1,04M;+1.27%
Actividades de Construcción y Servicios S.A. (ACS);30.10.2023;33,740;33,430;33,800;33,360;379,81K;+0.96%
Actividades de Construcción y Servicios S.A. (ACS);27.10.2023;33,420;32,910;33,700;32,700;677,22K;+2.05%
Actividades de Construcción y Servicios S.A. (ACS);26.10.2023;32,750;32,180;32,940;32,170;427,86K;+0.74%
Actividades de Construcción y Servicios S.A. (ACS);25.10.2023;32,510;32,600;32,770;32,430;380,47K;-0.34%
Actividades de Construcción y Servicios S.A. (ACS);24.10.2023;32,620;32,270;32,660;32,220;385,38K;+0.65%
Actividades de Construcción y Servicios S.A. (ACS);23.10.2023;32,410;32,210;32,460;32,120;374,14K;+0.50%
Actividades de Construcción y Servicios S.A. (ACS);20.10.2023;32,250;32,330;32,510;31,870;818,99K;-0.80%
Actividades de Construcción y Servicios S.A. (ACS);19.10.2023;32,510;32,570;32,620;32,220;364,83K;-0.73%
Actividades de Construcción y Servicios S.A. (ACS);18.10.2023;32,750;33,030;33,210;32,600;342,71K;-1.09%
Actividades de Construcción y Servicios S.A. (ACS);17.10.2023;33,110;33,100;33,180;32,940;261,90K;-0.06%
Actividades de Construcción y Servicios S.A. (ACS);16.10.2023;33,130;33,420;33,440;33,070;286,93K;-0.21%
